id	token	visible	frequency_full	is_special	length_chars
367	थे	थे	0	False	2
368	थ्या	थ्या	1	False	4
369	द	द	58	False	1
370	दं	दं	1	False	2
371	दा	दा	35	False	2
372	दि	दि	17	False	2
373	दी	दी	28	False	2
374	दु	दु	4	False	2
375	दू	दू	5	False	2
376	दृ	दृ	7	False	2
377	दे	दे	6	False	2
378	दें	दें	1	False	3
379	दो	दो	3	False	2
380	दों	दों	4	False	3
381	दौ	दौ	3	False	2
382	द्	द्	2	False	2
383	द्दे	द्दे	1	False	4
384	द्दों	द्दों	1	False	5
385	द्ध	द्ध	12	False	3
386	द्धि	द्धि	5	False	4
387	द्धों	द्धों	2	False	5
388	द्भा	द्भा	1	False	4
389	द्य	द्य	4	False	3
390	द्यो	द्यो	12	False	4
391	द्र	द्र	5	False	3
392	द्रा	द्रा	2	False	4
393	द्रि	द्रि	2	False	4
394	द्री	द्री	3	False	4
395	द्रो	द्रो	4	False	4
396	द्वा	द्वा	0	False	4
397	द्वि	द्वि	2	False	4
398	द्वी	द्वी	2	False	4
399	द्वे	द्वे	1	False	4
400	ध	ध	8	False	1
401	धा	धा	19	False	2
402	धि	धि	17	False	2
403	धी	धी	15	False	2
404	धु	धु	4	False	2
405	धे	धे	2	False	2
406	धो	धो	1	False	2
407	धों	धों	4	False	3
408	ध्द	ध्द	1	False	3
409	ध्य	ध्य	5	False	3
410	ध्या	ध्या	5	False	4
411	ध्रु	ध्रु	1	False	4
412	न	न	179	False	1
413	नं	नं	1	False	2
414	नः	नः	1	False	2
415	ना	ना	82	False	2
416	नां	नां	1	False	3
417	नि	नि	20	False	2
418	नी	नी	40	False	2
419	नीं	नीं	2	False	3
420	नु	नु	2	False	2
421	नू	नू	1	False	2
422	नृ	नृ	3	False	2
423	ने	ने	75	False	2
424	नै	नै	5	False	2
425	नो	नो	6	False	2
426	नों	नों	13	False	3
427	नौ	नौ	5	False	2
428	न्	न्	1	False	2
429	न्टा	न्टा	1	False	4
430	न्त	न्त	2	False	3
431	न्ति	न्ति	1	False	4
432	न्तु	न्तु	9	False	4
433	न्तु्	न्तु्	1	False	5
434	न्त्र	न्त्र	2	False	5
435	न्त्रि	न्त्रि	1	False	6
436	न्त्री	न्त्री	1	False	6
437	न्द	न्द	5	False	3
438	न्दी	न्दी	2	False	4
439	न्दु	न्दु	4	False	4
440	न्दू	न्दू	6	False	4
441	न्दो	न्दो	6	False	4
442	न्द्र	न्द्र	8	False	5
443	न्द्रा	न्द्रा	1	False	6
444	न्द्री	न्द्री	2	False	6
445	न्ध	न्ध	3	False	3
446	न्धु	न्धु	2	False	4
447	न्न	न्न	12	False	3
448	न्नौ	न्नौ	1	False	4
449	न्म	न्म	1	False	3
450	न्मा	न्मा	1	False	4
451	न्मी	न्मी	1	False	4
452	न्मों	न्मों	1	False	5
453	न्य	न्य	6	False	3
454	न्या	न्या	0	False	4
455	न्यू	न्यू	1	False	4
456	न्सा	न्सा	1	False	4
457	न्स्ट	न्स्ट	1	False	5
458	न्हीं	न्हीं	1	False	5
459	न्हे	न्हे	2	False	4
460	न्हें	न्हें	8	False	5
461	न्हों	न्हों	3	False	5
462	प	प	54	False	1
463	पं	पं	8	False	2
464	पा	पा	28	False	2
465	पाँ	पाँ	4	False	3
466	पां	पां	2	False	3
467	पि	पि	10	False	2
468	पी	पी	19	False	2
469	पीं	पीं	1	False	3
470	पु	पु	7	False	2
471	पू	पू	12	False	2
472	पूं	पूं	1	False	3
473	पे	पे	14	False	2
474	पें	पें	1	False	3
475	पै	पै	7	False	2
476	पैं	पैं	2	False	3
477	पॉ	पॉ	1	False	2
478	पो	पो	4	False	2
479	पों	पों	3	False	3
480	प्ट	प्ट	1	False	3
481	प्त	प्त	14	False	3
482	प्ति	प्ति	3	False	4
483	प्पा	प्पा	1	False	4
484	प्य	प्य	1	False	3
485	प्र	प्र	6	False	3
486	प्रा	प्रा	2	False	4
487	प्रि	प्रि	4	False	4
488	प्रे	प्रे	1	False	4
489	प्रै	प्रै	7	False	4
490	प्रो	प्रो	1	False	4
491	प्रौ	प्रौ	5	False	4
492	प्ला	प्ला	1	False	4
493	प्ले	प्ले	1	False	4
494	फ	फ	21	False	1
495	फ़	फ़	3	False	2
496	फ़ि	फ़ि	2	False	3
497	फ़ी	फ़ी	1	False	3
498	फ़े	फ़े	2	False	3
499	फ़्	फ़्	1	False	3
500	फ़्ट	फ़्ट	2	False	4
501	फा	फा	4	False	2
502	फि	फि	6	False	2
503	फु	फु	3	False	2
504	फू	फू	1	False	2
505	फे	फे	2	False	2
506	फै	फै	6	False	2
507	फ्राँ	फ्राँ	1	False	5
508	फ्रां	फ्रां	4	False	5
509	फ्री	फ्री	6	False	4
510	ब	ब	21	False	1
511	बँ	बँ	1	False	2
512	बं	बं	15	False	2
513	बा	बा	4	False	2
514	बाँ	बाँ	1	False	3
515	बां	बां	4	False	3
516	बि	बि	5	False	2
517	बी	बी	5	False	2
518	बु	बु	1	False	2
519	बू	बू	4	False	2
520	बे	बे	10	False	2
521	बें	बें	1	False	3
522	बै	बै	4	False	2
523	बैं	बैं	2	False	3
524	बॉ	बॉ	2	False	2
525	बो	बो	10	False	2
526	बौ	बौ	5	False	2
527	ब्द	ब्द	2	False	3
528	ब्दी	ब्दी	0	False	4
529	ब्ब	ब्ब	1	False	3
530	ब्बि	ब्बि	1	False	4
531	ब्र	ब्र	3	False	3
532	ब्रि	ब्रि	0	False	4
533	ब्लि	ब्लि	1	False	4
534	भ	भ	6	False	1
535	भं	भं	1	False	2
536	भा	भा	21	False	2
537	भां	भां	1	False	3
538	भि	भि	12	False	2
539	भी	भी	9	False	2
540	भु	भु	4	False	2
541	भू	भू	1	False	2
542	भे	भे	2	False	2
543	भो	भो	3	False	2
544	भौ	भौ	1	False	2
545	भ्य	भ्य	4	False	3
546	भ्र	भ्र	1	False	3
547	म	म	105	False	1
548	मं	मं	2	False	2
549	मा	मा	31	False	2
550	मां	मां	5	False	3
551	मि	मि	6	False	2
552	मी	मी	20	False	2
553	मु	मु	4	False	2
554	मुं	मुं	1	False	3
555	मू	मू	12	False	2
556	मृ	मृ	6	False	2
557	मे	मे	7	False	2
558	में	में	12	False	3
559	में‌	में‌	1	False	4
560	मै	मै	0	False	2
561	मो	मो	7	False	2
562	मों	मों	3	False	3
563	मौ	मौ	0	False	2
564	म्न	म्न	4	False	3
565	म्प	म्प	3	False	3
566	म्पू	म्पू	2	False	4
567	म्प्र	म्प्र	4	False	5
568	म्ब	म्ब	4	False	3
569	म्बि	म्बि	1	False	4
570	म्बे	म्बे	2	False	4
571	म्भ	म्भ	6	False	3
572	म्भि	म्भि	3	False	4
573	म्म	म्म	2	False	3
574	म्मि	म्मि	2	False	4
575	म्य	म्य	1	False	3
576	म्या	म्या	1	False	4
577	म्यां	म्यां	1	False	5
578	म्यु	म्यु	1	False	4
579	म्र	म्र	2	False	3
580	म्रा	म्रा	2	False	4
581	म्‍ब	म्‍ब	1	False	4
582	य	य	106	False	1
583	यं	यं	6	False	2
584	या	या	45	False	2
585	याँ	याँ	14	False	3
586	यां	यां	6	False	3
587	यि	यि	6	False	2
588	यी	यी	3	False	2
589	यु	यु	13	False	2
590	यू	यू	0	False	2
591	ये	ये	14	False	2
592	यें	यें	3	False	3
593	यो	यो	7	False	2
594	यों	यों	30	False	3
595	र	र	188	False	1
596	रं	रं	7	False	2
597	रा	रा	62	False	2
598	रि	रि	41	False	2
599	रिं	रिं	1	False	3
600	री	री	65	False	2
601	रु	रु	19	False	2
602	रू	रू	18	False	2
603	रे	रे	30	False	2
604	रें	रें	8	False	3
605	रैं	रैं	2	False	3
606	रो	रो	13	False	2
607	रोँ	रोँ	1	False	3
608	रों	रों	16	False	3
609	र्क	र्क	2	False	3
610	र्ग	र्ग	10	False	3
611	र्गी	र्गी	3	False	4
612	र्घ	र्घ	1	False	3
613	र्च	र्च	3	False	3
614	र्चा	र्चा	2	False	4
615	र्चे	र्चे	1	False	4
616	र्ज	र्ज	7	False	3
617	र्ज़	र्ज़	1	False	4
618	र्ज़ा	र्ज़ा	1	False	5
619	र्जा	र्जा	3	False	4
620	र्जि	र्जि	1	False	4
621	र्जी	र्जी	1	False	4
622	र्ट	र्ट	1	False	3
623	र्टि	र्टि	7	False	4
624	र्टी	र्टी	0	False	4
625	र्ण	र्ण	16	False	3
626	र्णि	र्णि	3	False	4
627	र्त	र्त	14	False	3
628	र्ता	र्ता	2	False	4
629	र्ति	र्ति	3	False	4
630	र्थ	र्थ	6	False	3
631	र्थि	र्थि	0	False	4
632	र्थी	र्थी	1	False	4
633	र्द	र्द	3	False	3
634	र्द्ध	र्द्ध	1	False	5
635	र्द्र	र्द्र	1	False	5
636	र्ध	र्ध	3	False	3
637	र्धा	र्धा	2	False	4
638	र्ना	र्ना	2	False	4
639	र्प	र्प	1	False	3
640	र्फ़	र्फ़	1	False	4
641	र्भ	र्भ	3	False	3
642	र्म	र्म	6	False	3
643	र्मा	र्मा	1	False	4
644	र्मि	र्मि	4	False	4
645	र्मी	र्मी	1	False	4
646	र्मों	र्मों	3	False	5
647	र्य	र्य	13	False	3
648	र्या	र्या	5	False	4
649	र्र	र्र	3	False	3
650	र्रा	र्रा	1	False	4
651	र्रों	र्रों	1	False	5
652	र्व	र्व	6	False	3
653	र्वं	र्वं	1	False	4
654	र्वा	र्वा	3	False	4
655	र्वां	र्वां	1	False	5
656	र्वी	र्वी	5	False	4
657	र्वो	र्वो	8	False	4
658	र्श	र्श	6	False	3
659	र्ष	र्ष	11	False	3
660	र्षा	र्षा	3	False	4
661	र्षि	र्षि	4	False	4
662	र्षों	र्षों	0	False	5
663	र्स	र्स	1	False	3
664	ल	ल	152	False	1
665	लं	लं	8	False	2
666	ला	ला	44	False	2
667	लाँ	लाँ	0	False	3
668	लां	लां	2	False	3
669	लि	लि	26	False	2
670	लिं	लिं	1	False	3
671	ली	ली	57	False	2
672	लीं	लीं	1	False	3
673	लु	लु	6	False	2
674	लू	लू	3	False	2
675	ले	ले	19	False	2
676	लै	लै	1	False	2
677	लैं	लैं	3	False	3
678	लॉ	लॉ	1	False	2
679	लो	लो	9	False	2
680	लों	लों	12	False	3
681	लौ	लौ	4	False	2
682	ल्कि	ल्कि	1	False	4
683	ल्ट	ल्ट	1	False	3
684	ल्टा	ल्टा	1	False	4
685	ल्टी	ल्टी	1	False	4
686	ल्त	ल्त	5	False	3
687	ल्प	ल्प	2	False	3
688	ल्पा	ल्पा	2	False	4
689	ल्म	ल्म	2	False	3
690	ल्में	ल्में	1	False	5
691	ल्य	ल्य	3	False	3
692	ल्या	ल्या	1	False	4
693	ल्यों	ल्यों	2	False	5
694	ल्ली	ल्ली	5	False	4
695	ल्ले	ल्ले	1	False	4
696	ल्ल्वों	ल्ल्वों	1	False	7
697	ल्सि	ल्सि	2	False	4
698	ल्‍प	ल्‍प	1	False	4
699	व	व	77	False	1
700	वं	वं	10	False	2
701	वा	वा	57	False	2
702	वाँ	वाँ	2	False	3
703	वि	वि	20	False	2
704	विं	विं	2	False	3
705	वी	वी	10	False	2
706	वीं	वीं	11	False	3
707	वृ	वृ	4	False	2
708	वे	वे	15	False	2
709	वें	वें	2	False	3
710	वै	वै	7	False	2
711	वों	वों	1	False	3
712	व्य	व्य	4	False	3
713	व्यं	व्यं	1	False	4
714	व्या	व्या	0	False	4
715	व्यु	व्यु	1	False	4
716	व्र	व्र	2	False	3
717	व्‍या	व्‍या	1	False	5
718	श	श	37	False	1
719	शः	शः	2	False	2
720	शा	शा	21	False	2
721	शां	शां	8	False	3
722	शि	शि	11	False	2
723	शी	शी	16	False	2
724	शु	शु	1	False	2
725	शृं	शृं	1	False	3
726	शे	शे	1	False	2
727	शै	शै	5	False	2
728	शो	शो	3	False	2
729	शों	शों	6	False	3
730	श्चि	श्चि	4	False	4
731	श्मी	श्मी	4	False	4
732	श्य	श्य	2	False	3
733	श्र	श्र	1	False	3
734	श्रि	श्रि	2	False	4
735	श्री	श्री	6	False	4
736	श्रे	श्रे	3	False	4
737	श्व	श्व	0	False	3
738	श्वं	श्वं	1	False	4
739	श्वि	श्वि	1	False	4
740	श्वी	श्वी	1	False	4
741	श्‍यी	श्‍यी	1	False	5
742	ष	ष	16	False	1
743	षा	षा	7	False	2
744	षि	षि	7	False	2
745	षी	षी	4	False	2
746	षों	षों	3	False	3
747	ष्क	ष्क	4	False	3
748	ष्का	ष्का	1	False	4
749	ष्ट	ष्ट	3	False	3
750	ष्टा	ष्टा	1	False	4
751	ष्टि	ष्टि	6	False	4
752	ष्ट्र	ष्ट्र	3	False	5
753	ष्ट्री	ष्ट्री	0	False	6
754	ष्ट्रों	ष्ट्रों	2	False	7
755	ष्ठ	ष्ठ	5	False	3
756	ष्ठि	ष्ठि	1	False	4
