rank	left	right	merged
307	▁	ಮಾ	▁ಮಾ
308	▁	ಮೊ	▁ಮೊ
309	▁	ಸಿ	▁ಸಿ
310	▁	it	▁it
311	u	t	ut
312	o	p	op
313	▁e	x	▁ex
314	a	b	ab
315	al	ly	ally
316	t	er	ter
317	ic	h	ich
318	▁o	r	▁or
319	an	g	ang
320	▁	के	▁के
321	▁	में	▁में
322	▁	भा	▁भा
323	▁	अ	▁अ
324	भा	र	भार
325	▁	है	▁है
326	▁	औ	▁औ
327	▁	स	▁स
328	र	त	रत
329	▁	का	▁का
330	▁	"	▁"
331	▁పా	ర్టీ	▁పార్టీ
332	▁మా	ర్గా	▁మార్గా
333	▁ద	క్షి	▁దక్షి
334	▁	4	▁4
335	చ్చిం	ది.	చ్చింది.
336	డి	న	డిన
337	నా	భా	నాభా
338	నా	లు	నాలు
339	▁	చి	▁చి
340	▁	ಸು	▁ಸು
341	▁	ಪೂರ್ವ	▁ಪೂರ್ವ
342	▁ಪ	ಶ್ಚಿಮ	▁ಪಶ್ಚಿಮ
343	▁ಹೆ	ಚ್ಚು	▁ಹೆಚ್ಚು
344	▁ಹೆ	ಸ	▁ಹೆಸ
345	▁೧	೯	▁೧೯
346	▁ರ	ಲ್ಲಿ	▁ರಲ್ಲಿ
347	▁ಶ	ತ	▁ಶತ
348	%	),	%),
349	ಡ	ಳಿ	ಡಳಿ
350	▁	H	▁H
351	ti	c	tic
352	▁I	n	▁In
353	▁h	as	▁has
354	u	m	um
355	a	c	ac
356	▁	on	▁on
357	s	e	se
358	u	d	ud
359	▁s	u	▁su
360	▁	పం	▁పం
361	▁ప	రి	▁పరి
362	▁జ	నాభా	▁జనాభా
363	▁దేశం	లో	▁దేశంలో
364	▁మొ	ద	▁మొద
365	▁హిం	దూ	▁హిందూ
366	▁ప్రాం	తా	▁ప్రాంతా
367	పె	ద్ద	పెద్ద
368	రా	లు	రాలు
369	లు	.	లు.
370	▁	3	▁3
371	5	0	50
372	▁19	4	▁194
373	▁	చెం	▁చెం
374	▁	పు	▁పు
375	▁	బ	▁బ
376	▁	రెం	▁రెం
377	▁	వం	▁వం
378	▁	శ	▁శ
379	▁	సాం	▁సాం
380	▁f	rom	▁from
381	▁wh	ich	▁which
382	▁	D	▁D
383	a	y	ay
384	i	es	ies
385	▁	G	▁G
386	▁	N	▁N
387	l	d	ld
388	o	re	ore
389	d	i	di
390	ಪಂ	ಚ	ಪಂಚ
391	ಮಾ	ನ	ಮಾನ
392	ಮಿ	ಲಿಯ	ಮಿಲಿಯ
393	ರ್ಥಿ	ಕ	ರ್ಥಿಕ
394	ಲ	ಸೆ	ಲಸೆ
395	ಸ್ಥಾ	ನ	ಸ್ಥಾನ
396	▁	ಇಂ	▁ಇಂ
397	▁	ಗ	▁ಗ
398	▁	ದ	▁ದ
399	▁	ನಾ	▁ನಾ
400	▁అ	యి	▁అయి
401	▁ఉ	న్న	▁ఉన్న
402	▁వ	చ్చింది.	▁వచ్చింది.
403	▁ఇ	తర	▁ఇతర
404	క్కు	వ	క్కువ
405	ది	న	దిన
406	యా	లు	యాలు
407	రు	వా	రువా
408	▁	కేం	▁కేం
409	▁భా	ష	▁భాష
410	t	s	ts
411	▁p	ar	▁par
412	it	y	ity
413	a	k	ak
414	t	ed	ted
415	▁a	re	▁are
416	p	p	pp
417	▁a	r	▁ar
418	y	,	y,
419	ou	th	outh
420	▁194	7	▁1947
421	▁అ	తి	▁అతి
422	▁ప్ర	భు	▁ప్రభు
423	▁రా	ష్ట్రా	▁రాష్ట్రా
424	▁జ	రి	▁జరి
425	▁త	రువా	▁తరువా
426	▁అధి	కా	▁అధికా
427	▁మార్గా	లు	▁మార్గాలు
428	▁	ಬಂ	▁ಬಂ
429	▁	ಬೆ	▁ಬೆ
430	▁	ಬ್ರಿ	▁ಬ್ರಿ
431	▁	ಲಕ್ಷ	▁ಲಕ್ಷ
432	▁	ಮಿಲಿಯ	▁ಮಿಲಿಯ
433	00	00	0000
434	▁ಆ	ರ್ಥಿಕ	▁ಆರ್ಥಿಕ
435	▁ಪ್ರ	ದೇಶ	▁ಪ್ರದೇಶ
436	▁ಪ್ರ	ಪಂಚ	▁ಪ್ರಪಂಚ
437	▁ವ	ಲಸೆ	▁ವಲಸೆ
438	ಗಳ	ಲ್ಲಿ	ಗಳಲ್ಲಿ
439	▁ರಾ	ಜ್ಯ	▁ರಾಜ್ಯ
440	▁	7	▁7
441	క	,	క,
442	కాం	గ్రె	కాంగ్రె
443	గి	న	గిన
444	జ	కీ	జకీ
445	ప్ర	దా	ప్రదా
446	ర	ణం	రణం
447	లం	లో	లంలో
448	వా	ణా	వాణా
449	▁	అం	▁అం
450	i	g	ig
451	c	on	con
452	o	c	oc
453	▁	v	▁v
454	▁a	l	▁al
455	er	e	ere
456	▁c	om	▁com
457	▁in	c	▁inc
458	o	ver	over
459	▁in	t	▁int
460	▁	నుం	▁నుం
461	▁	మం	▁మం
462	▁	పెద్ద	▁పెద్ద
463	▁	కాంగ్రె	▁కాంగ్రె
464	▁అ	నే	▁అనే
465	▁ఇ	ది	▁ఇది
466	▁క	లి	▁కలి
467	▁ఎ	న్నో	▁ఎన్నో
468	▁ర	వాణా	▁రవాణా
469	▁ప్రపం	చ	▁ప్రపంచ
470	▁w	ere	▁were
471	ul	t	ult
472	▁it	s	▁its
473	h	i	hi
474	e	l	el
475	▁c	o	▁co
476	▁c	ent	▁cent
477	at	ed	ated
478	▁m	il	▁mil
479	▁d	e	▁de
480	▁ಹೊಂದಿ	ದೆ.	▁ಹೊಂದಿದೆ.
481	ಡಳಿ	ತ	ಡಳಿತ
482	ಗ	ರ	ಗರ
483	ಗಿ	ನ	ಗಿನ
484	ದಿಂ	ದ	ದಿಂದ
485	ದೊ	ಡ್ಡ	ದೊಡ್ಡ
486	ನೆ	ಯ	ನೆಯ
487	ಮ್ರಾ	ಜ್ಯ	ಮ್ರಾಜ್ಯ
488	ಯಿಂ	ದ	ಯಿಂದ
489	ರಿ	ವಂ	ರಿವಂ
490	▁దక్షి	ణా	▁దక్షిణా
491	గా	,	గా,
492	త్య	ధి	త్యధి
493	దా	రు	దారు
494	ని	మా	నిమా
495	ప్ప	టి	ప్పటి
496	రం	గా	రంగా
497	రి	త్ర	రిత్ర
498	ర్ధి	క	ర్ధిక
499	ల	న	లన
500	▁India	's	▁India's
501	i	al	ial
502	d	u	du
503	e	ar	ear
504	ar	ge	arge
505	i	an	ian
506	es	,	es,
507	er	s	ers
508	ar	y	ary
509	g	ion	gion
510	సి	యా	సియా
511	స్కృ	తి	స్కృతి
512	▁	కొ	▁కొ
513	▁	నా	▁నా
514	▁	బం	▁బం
515	▁	వే	▁వే
516	▁	సిం	▁సిం
517	▁అ	త్యధి	▁అత్యధి
518	▁ప్ర	తి	▁ప్రతి
519	▁ఉ	త్త	▁ఉత్త
520	ರಿಂ	ದ	ರಿಂದ
521	ರೆ	ಗೆ	ರೆಗೆ
522	ವ	ರ	ವರ
523	ವಿ	ರ	ವಿರ
524	ವೆ	.	ವೆ.
525	ಸ್ವಾ	ತಂ	ಸ್ವಾತಂ
526	ಹಾ	ಗೂ	ಹಾಗೂ
527	೦	೧	೦೧
528	▁	ಎ	▁ಎ
529	▁	ಕೆ	▁ಕೆ
530	▁A	s	▁As
531	▁s	p	▁sp
532	is	m	ism
533	▁u	n	▁un
534	i	re	ire
535	m	p	mp
536	▁p	ro	▁pro
537	ic	al	ical
538	▁d	i	▁di
539	ou	r	our
540	▁औ	र	▁और
541	▁भा	रत	▁भारत
542	▁	प	▁प
543	▁	की	▁की
544	▁	क	▁क
545	▁	से	▁से
546	▁है	।	▁है।
547	▁	ब	▁ब
548	▁	त	▁त
549	▁	प्र	▁प्र
550	▁	8	▁8
551	,	000	,000
552	▁మ	త	▁మత
553	▁ఆ	ర్ధిక	▁ఆర్ధిక
554	▁సం	గీ	▁సంగీ
555	▁రా	ష్ట్ర	▁రాష్ట్ర
556	▁రా	జకీ	▁రాజకీ
557	▁పా	కి	▁పాకి
558	▁ఎ	క్కువ	▁ఎక్కువ
559	▁కా	లంలో	▁కాలంలో
560	▁	ಕ್ರಿ	▁ಕ್ರಿ
561	▁	ತ	▁ತ
562	▁	ಮುಂ	▁ಮುಂ
563	▁	ರೂ	▁ರೂ
564	▁	%),	▁%),
565	▁	ಸ್ವಾತಂ	▁ಸ್ವಾತಂ
566	▁	ಹಾಗೂ	▁ಹಾಗೂ
567	▁ಭಾರತದ	ಲ್ಲಿ	▁ಭಾರತದಲ್ಲಿ
568	▁ಸಾ	ಮ್ರಾಜ್ಯ	▁ಸಾಮ್ರಾಜ್ಯ
569	▁ಸಾ	ವಿರ	▁ಸಾವಿರ
570	▁దే	శ	▁దేశ
571	▁సా	ధిం	▁సాధిం
572	▁ఏ	ర్ప	▁ఏర్ప
573	▁గ	ల	▁గల
574	▁క్రీ	డ	▁క్రీడ
575	▁సి	నిమా	▁సినిమా
576	▁చి	న్న	▁చిన్న
577	▁అయి	న	▁అయిన
578	▁కేం	ద్ర	▁కేంద్ర
579	▁	–	▁–
580	v	ed	ved
581	▁con	t	▁cont
582	f	ter	fter
583	o	s	os
584	▁	li	▁li
585	▁c	h	▁ch
586	or	th	orth
587	ro	u	rou
588	am	e	ame
589	▁H	in	▁Hin
590	.	2	.2
591	▁19	9	▁199
592	▁1	8	▁18
593	▁201	1	▁2011
594	▁19	7	▁197
595	కో	వ	కోవ
596	గం	గా	గంగా
597	ఢి	ల్లీ	ఢిల్లీ
598	తం	,	తం,
599	తి	,	తి,
600	▁	J	▁J
601	a	,	a,
602	▁	W	▁W
603	an	ce	ance
604	▁w	or	▁wor
605	over	n	overn
606	c	h	ch
607	l	ow	low
608	▁l	arge	▁large
609	ou	s	ous
610	ಗಳ	ನ್ನು	ಗಳನ್ನು
611	▁ಸಂ	ಪ	▁ಸಂಪ
612	▁ಒ	ಟ್ಟು	▁ಒಟ್ಟು
613	▁ಮು	ಖ್ಯ	▁ಮುಖ್ಯ
614	▁ಹಿಂ	ದೂ	▁ಹಿಂದೂ
615	▁ಮೊ	ದ	▁ಮೊದ
616	▁ಸಿ	ರಿವಂ	▁ಸಿರಿವಂ
617	▁ಶತ	ಮಾನ	▁ಶತಮಾನ
618	భి	న్న	భిన్న
619	ము	ఖ	ముఖ
620	ర	ణ	రణ
621	వి	ధ	విధ
622	సిం	ది.	సింది.
623	సౌ	క	సౌక
624	హ	దారు	హదారు
625	▁	కం	▁కం
626	▁	చా	▁చా
627	▁	పో	▁పో
628	▁	బెం	▁బెం
629	▁	బ్రి	▁బ్రి
630	▁int	o	▁into
631	▁	R	▁R
632	a	v	av
633	a	ge	age
634	u	tion	ution
635	▁b	ec	▁bec
636	as	s	ass
637	▁for	m	▁form
638	▁India	,	▁India,
639	a	g	ag
640	▁	మూ	▁మూ
641	▁	ల	▁ల
642	▁	స్వ	▁స్వ
643	▁	స్వా	▁స్వా
644	▁	సౌక	▁సౌక
645	▁ప్ర	జ	▁ప్రజ
646	▁ప్ర	స్తు	▁ప్రస్తు
647	▁ప్ర	ముఖ	▁ప్రముఖ
648	▁ప	ట్ట	▁పట్ట
649	▁ఉ	ప	▁ఉప
650	1	,	1,
651	a	ti	ati
652	b	er	ber
653	o	g	og
654	s	h	sh
655	an	y	any
656	▁m	o	▁mo
657	li	on	lion
658	con	om	conom
659	overn	ment	overnment
660	▁మ	తా	▁మతా
661	▁స	భ	▁సభ
662	▁వి	విధ	▁వివిధ
663	▁జ	న	▁జన
664	▁ర	కా	▁రకా
665	▁ర	హదారు	▁రహదారు
666	▁దేశా	ల	▁దేశాల
667	▁న	డి	▁నడి
668	▁ము	ఖ్య	▁ముఖ్య
669	▁దేశంలో	ని	▁దేశంలోని
670	.	6	.6
671	ಕ್ಷಿ	ಣ	ಕ್ಷಿಣ
672	ಗ	ಳೆಂ	ಗಳೆಂ
673	ಗಿ	ದೆ.	ಗಿದೆ.
674	ಚು	ನಾ	ಚುನಾ
675	ಡಿ	ಯಾ	ಡಿಯಾ
676	ತಂ	ತ್ರ	ತಂತ್ರ
677	ಥ	ವಾ	ಥವಾ
678	ದೆ	ಹ	ದೆಹ
679	ಧಿ	ಪ	ಧಿಪ
680	a	j	aj
681	m	e	me
682	o	t	ot
683	an	s	ans
684	an	t	ant
685	▁a	d	▁ad
686	st	it	stit
687	▁p	er	▁per
688	▁m	ar	▁mar
689	▁C	h	▁Ch
690	▁బ	హు	▁బహు
691	▁రెం	డు	▁రెండు
692	▁తరువా	త	▁తరువాత
693	▁అత్యధి	క	▁అత్యధిక
